Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
OP508218	Acinetobacter phage BM12	Acinetobacter phage BM12 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41027	FALSE	39.428	DNA	19-OCT-2022	49	0	100	93.2751602603164	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
OP291336	Acinetobacter phage AIIMS-AbE5-RC	Acinetobacter phage AIIMS-AbE5-RC Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	46540	FALSE	39.128	DNA	19-OCT-2022	57	24.5614035087719	75.4385964912281	81.7425870219166	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
OM513680	Erwinia phage Loshitsa2	Erwinia phage Loshitsa2 Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43092	FALSE	53.998	DNA	14-OCT-2022	51	100	0	89.4017451034995	NA	2	Erwinia	Autographiviridae	Unclassified	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Erwinia amylovora 1/79Sm
OM513679	Erwinia phage Micant	Erwinia phage Micant Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43028	FALSE	54.016	DNA	14-OCT-2022	51	100	0	93.202100957516	NA	2	Erwinia	Autographiviridae	Unclassified	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Erwinia amylovora 1/79Sm
OX335428	Klebsiella phage mtp6	Klebsiella phage mtp6 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43492	FALSE	53.902	DNA	03-OCT-2022	53	100	0	93.5068518348202	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
OX335379	Klebsiella phage cp48	Klebsiella phage cp48 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43569	FALSE	53.894	DNA	03-OCT-2022	53	0	100	92.8320594918405	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
OK585160	Vibrio phage vB_VpP_HA7	Vibrio phage vB_VpP_HA7 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43210	FALSE	49.424	DNA	27-SEP-2022	48	0	100	94.5683869474659	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
OK585159	Vibrio phage vB_VpP_HA5	Vibrio phage vB_VpP_HA5 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43210	FALSE	49.426	DNA	27-SEP-2022	48	0	100	94.5683869474659	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
OK585158	Vibrio phage vB_VpP_HA1	Vibrio phage vB_VpP_HA1 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42987	FALSE	49.180	DNA	27-SEP-2022	49	0	100	94.9263730895387	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
OL634959	Bacteriophage Phi NF-1	Bacteriophage Phi NF-1 Krylovirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41596	FALSE	45.093	DNA	20-SEP-2022	55	100	0	91.9343206077507	NA	0	Unspecified	Krylovirinae	Unclassified	Krylovirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
ON602767	Klebsiella phage VLCpiA1i	Klebsiella phage VLCpiA1i Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43855	FALSE	54.042	DNA	06-SEP-2022	49	100	0	93.8000228024171	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602762	Klebsiella phage VLCpiA1d	Klebsiella phage VLCpiA1d Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42774	FALSE	53.988	DNA	06-SEP-2022	53	0	100	94.5504278299902	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602761	Klebsiella phage VLCpiA1g	Klebsiella phage VLCpiA1g Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44132	FALSE	53.809	DNA	06-SEP-2022	57	100	0	94.0813921870751	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602757	Klebsiella phage VLCpiA1e	Klebsiella phage VLCpiA1e Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43867	FALSE	53.619	DNA	06-SEP-2022	58	0	100	93.1315111587298	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602756	Klebsiella phage VLCpiA1f	Klebsiella phage VLCpiA1f Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43175	FALSE	53.575	DNA	06-SEP-2022	57	1.75438596491228	98.2456140350877	93.2345107122177	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602754	Klebsiella phage VLCpiA1j	Klebsiella phage VLCpiA1j Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44163	FALSE	54.077	DNA	06-SEP-2022	51	1.96078431372549	98.0392156862745	92.6295767950547	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602752	Klebsiella phage VLCpiA1b	Klebsiella phage VLCpiA1b Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44598	FALSE	53.157	DNA	06-SEP-2022	57	98.2456140350877	1.75438596491228	90.5758105744652	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602748	Klebsiella phage VLCpiA1c	Klebsiella phage VLCpiA1c Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42923	FALSE	54.122	DNA	06-SEP-2022	52	0	100	91.9437131607763	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602743	Klebsiella phage VLCpiA1h	Klebsiella phage VLCpiA1h Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43535	FALSE	54.060	DNA	06-SEP-2022	53	98.1132075471698	1.88679245283019	93.7934994831745	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602740	Klebsiella phage VLCpiA1l	Klebsiella phage VLCpiA1l Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43408	FALSE	54.073	DNA	06-SEP-2022	58	1.72413793103448	98.2758620689655	91.6282712863988	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602739	Klebsiella phage VLCpiA1k	Klebsiella phage VLCpiA1k Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43278	FALSE	54.231	DNA	06-SEP-2022	56	1.78571428571429	98.2142857142857	94.059337307639	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602732	Klebsiella phage VLCpiA1a	Klebsiella phage VLCpiA1a Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43524	FALSE	54.101	DNA	06-SEP-2022	54	98.1481481481482	1.85185185185185	93.9068100358423	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602728	Klebsiella phage VLCpiA1n	Klebsiella phage VLCpiA1n Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43439	FALSE	53.813	DNA	06-SEP-2022	55	96.3636363636364	3.63636363636364	89.8570409079399	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602727	Klebsiella phage VLCpiA1m	Klebsiella phage VLCpiA1m Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43756	FALSE	54.013	DNA	06-SEP-2022	57	100	0	94.409909498126	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602726	Klebsiella phage VLCpiA1q	Klebsiella phage VLCpiA1q Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44945	FALSE	53.939	DNA	06-SEP-2022	59	1.69491525423729	98.3050847457627	94.8893091556347	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602725	Klebsiella phage VLCpiA1r	Klebsiella phage VLCpiA1r Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43546	FALSE	53.931	DNA	06-SEP-2022	57	1.75438596491228	98.2456140350877	94.1900518991411	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602724	Klebsiella phage VLCpiA1o	Klebsiella phage VLCpiA1o Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42793	FALSE	54.002	DNA	06-SEP-2022	54	100	0	93.9826607155376	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON602723	Klebsiella phage VLCpiA1p	Klebsiella phage VLCpiA1p Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44473	FALSE	53.702	DNA	06-SEP-2022	60	95	5	89.7173565983855	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON809559	Klebsiella phage pKp11	Klebsiella phage pKp11 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43974	FALSE	53.848	DNA	06-SEP-2022	49	0	100	93.0822758902988	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OP171942	Acinetobacter phage AbpL	Acinetobacter phage AbpL Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41723	FALSE	39.348	DNA	24-AUG-2022	49	100	0	91.6472928600532	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii AB2
OP019135	Acinetobacter phage vB_Ab4_Hep4	Acinetobacter phage vB_Ab4_Hep4 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41463	FALSE	39.290	DNA	24-AUG-2022	51	0	100	93.2638738152087	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii Ab4
OP117450	Vibrio phage SSJ01	Vibrio phage SSJ01 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43332	FALSE	49.165	DNA	24-AUG-2022	47	0	100	93.5128773193021	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus KACC 15069
MZ571827	Klebsiella phage vB_KpnM-VAC25	Klebsiella phage vB_KpnM-VAC25 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43777	FALSE	53.747	DNA	23-AUG-2022	57	0	100	93.8575050825776	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
ON872379	Vibrio phage vB_VpaP_1701	Vibrio phage vB_VpaP_1701 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43975	FALSE	49.692	DNA	17-AUG-2022	48	0	100	90.8288800454804	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
ON165415	Klebsiella phage JKP2	Klebsiella phage JKP2 Viruses	43211	FALSE	54.083	DNA	01-AUG-2022	56	98.2142857142857	1.78571428571429	90.3450510286733	NA	0	Klebsiella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Klebsiella pneumoniae
ON864052	Vibrio phage vB_VpP_AC2	Vibrio phage vB_VpP_AC2 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44270	FALSE	49.297	DNA	23-JUL-2022	53	100	0	90.2642873277615	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
CAKLQB020000001	Acinetobacter phage MD-2021b	Acinetobacter phage MD-2021b Podoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42541	FALSE	39.334	DNA	27-JUN-2022	49	2.04081632653061	97.9591836734694	88.8413530476482	NA	0	Acinetobacter	Podoviridae	Unclassified	Unclassified	Podoviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
CAKLQG020000001	Acinetobacter phage MD-2021b	Acinetobacter phage MD-2021b Podoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42573	FALSE	39.422	DNA	27-JUN-2022	49	2.04081632653061	97.9591836734694	91.2479740680713	NA	0	Acinetobacter	Podoviridae	Unclassified	Unclassified	Podoviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
MZ333135	Erwinia phage Zoomie	Erwinia phage Zoomie Limelightvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43480	FALSE	54.425	DNA	23-JUN-2022	51	0	100	93.2888684452622	NA	1	Erwinia	Limelightvirus	Limelightvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Erwinia sp.
ON210142	Acinetobacter phage APK127v	Acinetobacter phage APK127v Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41380	FALSE	39.195	DNA	08-JUN-2022	48	100	0	91.906718221363	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain 36-1454
ON513429	Acinetobacter phage AB_SZ6	Acinetobacter phage AB_SZ6 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40565	FALSE	39.196	DNA	08-JUN-2022	47	100	0	92.5329717736965	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
OL362279	Klebsiella phage 6995	Klebsiella phage 6995 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42528	FALSE	54.138	DNA	10-JUN-2022	54	100	0	94.4554176072235	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OL362278	Klebsiella phage 6993	Klebsiella phage 6993 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44351	FALSE	53.900	DNA	10-JUN-2022	55	98.1818181818182	1.81818181818182	95.1252508398909	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ967493	Acinetobacter phage APK37.1	Acinetobacter phage APK37.1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40966	FALSE	39.184	DNA	17-MAY-2022	47	100	0	91.4880632719816	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain KZ-1101
OM925528	Acinetobacter phage vB_AbaP_ZHSHW	Acinetobacter phage vB_AbaP_ZHSHW Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41495	FALSE	39.291	DNA	12-MAY-2022	50	100	0	92.2231594167972	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii 8_4
