Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
AB362338,preVC_33,Clustered,VC_33_0,45,0.5895,1.0,7.126838679162322,0.5895,0.9636
AB366653,preVC_70,Clustered/Singleton,VC_70_3,1,0.0,0.0,0,0.0,1.0
AB370205,preVC_10,Clustered,VC_10_0,38,0.4977,1.0,7.6679937134406515,0.4977,1.0
AB370268,preVC_12,Clustered,VC_12_2,19,0.207,1.0,7.660098382626965,0.207,0.9942
AB374228,preVC_7,Clustered,VC_7_0,26,0.9564,1.0,5.732533940464716,0.9564,1.0
AB426868,preVC_33,Clustered,VC_33_0,45,0.5895,1.0,7.126838679162322,0.5895,0.9636
AB434711,preVC_57,Clustered,VC_57_0,88,0.9997,1.0,1.1209307734749863,0.9997,1.0
AB451219,,Overlap (VC_76/VC_77),,,,,,,
AB472900,preVC_82,Clustered,VC_82_0,20,0.9649,1.0,4.2033629035672,0.9649,1.0
AB560486,preVC_84,Clustered,VC_84_9,48,0.3086,1.0,7.875058420847363,0.3086,0.8874
AB571791,,Outlier,,,,,,,
AB572858,,Overlap (VC_17/VC_19),,,,,,,
AB597179,preVC_90,Clustered,VC_90_0,8,0.6932,1.0,3.60698127903219,0.6932,1.0
AB605730,,Overlap (VC_93/VC_94),,,,,,,
AB609718,preVC_95,Clustered,VC_95_0,22,0.5335,1.0,6.321692857563572,0.5335,1.0
AB626962,preVC_101,Clustered,VC_101_0,30,0.7332,1.0,1.3306300280246417,0.7332,1.0
AB626963,preVC_101,Clustered,VC_101_0,30,0.7332,1.0,1.3306300280246417,0.7332,1.0
AB647160,preVC_104,Clustered,VC_104_0,32,0.8867,1.0,3.0039006754772752,0.8867,1.0
AB711120,,Outlier,,,,,,,
AB712291,preVC_112,Clustered,VC_112_0,37,0.8473,1.0,6.019306666400921,0.8473,1.0
AB716666,preVC_118,Clustered,VC_118_0,94,0.883,1.0,5.8691468234901745,0.883,1.0
AB720063,preVC_123,Clustered,VC_123_0,7,0.395,1.0,6.131856736837868,0.395,1.0
AB720064,preVC_127,Clustered,VC_127_0,13,0.9988,0.99998703,3.1033880102198768,0.9987,1.0
AB731695,preVC_104,Clustered,VC_104_0,32,0.8867,1.0,3.0039006754772752,0.8867,1.0
AB746912,preVC_128,Clustered,VC_128_0,3,0.7172,0.98206248,4.47213595499958,0.7043,1.0
AB757800,preVC_130,Clustered,VC_130_0,9,0.9989,0.89901454,4.726948267702982,0.898,1.0
AB757801,preVC_130,Clustered,VC_130_0,9,0.9989,0.89901454,4.726948267702982,0.898,1.0
AB767244,preVC_131,Clustered,VC_131_0,3,0.1104,0.99659403,4.153151757951763,0.11,1.0
AB775548,preVC_136,Clustered,VC_136_0,17,0.9586,1.0,6.56050347329879,0.9586,1.0
AB775549,preVC_140,Clustered,VC_140_0,20,0.6658,1.0,4.08982478132363,0.6658,1.0
AB797215,preVC_142,Clustered,VC_142_1,17,0.185,1.0,7.33954700003125,0.185,0.9853
AB823818,preVC_149,Clustered,VC_149_0,2,0.0467,0.87159825,9.0,0.0407,0.0
AB828698,preVC_58,Clustered,VC_58_0,6,0.6749,0.9999998,1.4547416971511786,0.6749,1.0
AB853330,preVC_156,Clustered,VC_156_19,3,0.0087,0.90846725,8.044153671145809,0.0079,1.0
AB853331,preVC_156,Clustered/Singleton,VC_156_24,1,0.0,0.0,0,0.0,1.0
AB854109,preVC_74,Clustered,VC_74_0,7,0.2906,1.0,6.227039574616969,0.2906,1.0
AB863625,preVC_165,Clustered,VC_165_0,3,0.5541,0.99621341,2.8733241880949305,0.552,1.0
AB897757,preVC_168,Clustered,VC_168_11,5,0.0599,0.94062834,6.84565661000547,0.0563,1.0
AB903967,preVC_156,Clustered/Singleton,VC_156_20,1,0.0,0.0,0,0.0,1.0
AB910392,preVC_171,Clustered,VC_171_0,3,0.6788,0.99659143,2.3874258867227933,0.6765,1.0
AB910393,preVC_179,Clustered,VC_179_0,3,0.9659,0.9850533,1.3820881233139908,0.9515,1.0
AB910602,preVC_181,Clustered,VC_181_0,5,0.6764,0.99837866,2.726909002553108,0.6753,1.0
AB916497,preVC_184,Clustered,VC_184_0,4,0.1962,0.99997279,1.8708286933869707,0.1962,1.0
AB920995,preVC_76,Clustered,VC_76_0,18,0.4877,1.0,6.107324192329486,0.4877,1.0
AB930182,preVC_91,Clustered,VC_91_2,19,0.3658,1.0,7.812121803794132,0.3658,0.807
AB931172,preVC_58,Clustered,VC_58_0,6,0.6749,0.9999998,1.4547416971511786,0.6749,1.0
AB937974,preVC_57,Clustered,VC_57_0,88,0.9997,1.0,1.1209307734749863,0.9997,1.0
AB967974,preVC_24,Clustered/Singleton,VC_24_0,1,0.0,0.0,0,0.0,1.0
AB971354,preVC_195,Clustered,VC_195_0,13,0.9975,0.99647604,0.15384615384615385,0.994,1.0
AB981169,preVC_1,Clustered,VC_1_0,54,0.8386,1.0,5.331294686939304,0.8386,1.0
AB981170,preVC_57,Clustered,VC_57_0,88,0.9997,1.0,1.1209307734749863,0.9997,1.0
AB983711,preVC_76,Clustered,VC_76_0,18,0.4877,1.0,6.107324192329486,0.4877,1.0
AC171169,preVC_197,Clustered/Singleton,VC_197_11,1,0.0,0.0,0,0.0,1.0
ACSJ01000013,,Outlier,,,,,,,
ACSJ01000015,,Outlier,,,,,,,
ACSJ01000017,preVC_204,Clustered/Singleton,VC_204_0,1,0.0,0.0,0,0.0,1.0
ACSJ01000018,,Outlier,,,,,,,
AE002163,,Overlap (VC_206/VC_207),,,,,,,
AF009630,preVC_212,Clustered,VC_212_0,108,0.4372,1.0,8.427802201019666,0.4372,0.7709
AF011378,preVC_212,Clustered,VC_212_0,108,0.4372,1.0,8.427802201019666,0.4372,0.7709
AF020713,preVC_192,Clustered/Singleton,VC_192_3,1,0.0,0.0,0,0.0,1.0
AF022214,preVC_222,Clustered,VC_222_1,19,0.436,1.0,3.8812387499516285,0.436,1.0
AF059242,preVC_195,Clustered,VC_195_0,13,0.9975,0.99647604,0.15384615384615385,0.994,1.0
AF059243,preVC_195,Clustered,VC_195_0,13,0.9975,0.99647604,0.15384615384615385,0.994,1.0
AF063097,preVC_233,Clustered,VC_233_0,63,0.9522,1.0,4.93662410690957,0.9522,1.0
AF064539,,Outlier,,,,,,,
AF065411,preVC_238,Clustered,VC_238_0,2,0.9736,0.33333333,1.4142135623730951,0.3245,1.0
AF068845,,Overlap (VC_242/VC_243),,,,,,,
AF069308,,Overlap (VC_35/VC_38),,,,,,,
AF069529,,Overlap (VC_35/VC_38),,,,,,,
AF074945,preVC_256,Clustered,VC_256_0,4,1.0,0.0,2.4450077296183284,0.0,1.0
AF083977,preVC_56,Clustered,VC_56_0,9,0.5584,1.0,3.487452310471272,0.5584,1.0
AF085222,preVC_261,Clustered,VC_261_0,121,0.7457,1.0,7.308145315261697,0.7457,0.9986
AF109874,,Overlap (VC_265/VC_271),,,,,,,
AF115102,preVC_261,Clustered,VC_261_0,121,0.7457,1.0,7.308145315261697,0.7457,0.9986
AF115103,preVC_261,Clustered,VC_261_0,121,0.7457,1.0,7.308145315261697,0.7457,0.9986
AF125163,preVC_7,Clustered,VC_7_0,26,0.9564,1.0,5.732533940464716,0.9564,1.0
AF125520,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AF133242,preVC_282,Clustered,VC_282_0,2,1.0,0.0,1.0,0.0,1.0
AF143772,,Singleton,,,,,,,
AF145054,preVC_261,Clustered,VC_261_0,121,0.7457,1.0,7.308145315261697,0.7457,0.9986
AF155037,preVC_284,Clustered,VC_284_0,3,1.0,0.0,1.885618083164127,0.0,1.0
AF157835,preVC_40,Clustered,VC_40_0,10,0.5554,1.0,2.3008619216227286,0.5554,1.0
AF158101,preVC_290,Clustered,VC_290_5,11,0.0296,1.0,3.497250217905761,0.0296,1.0
AF158600,preVC_262,Clustered,VC_262_0,46,0.5286,1.0,6.2725725457472,0.5286,1.0
AF165214,preVC_248,Clustered,VC_248_1,3,0.08,0.99703664,8.307570691653508,0.0798,0.6667
AF176025,preVC_269,Clustered,VC_269_0,13,0.3746,1.0,6.556067462019965,0.3746,1.0
AF176027,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF176028,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF176029,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF176030,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF176031,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF176032,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF176033,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF176034,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF189021,preVC_312,Clustered,VC_312_0,11,0.8005,1.0,4.571181409362063,0.8005,1.0
AF191796,,Singleton,,,,,,,
AF191797,preVC_314,Clustered,VC_314_0,2,1.0,0.0,0.0,0.0,1.0
AF195902,preVC_316,Clustered,VC_316_0,4,0.6048,0.99989303,6.166945630246292,0.6047,1.0
AF217253,preVC_33,Clustered,VC_33_0,45,0.5895,1.0,7.126838679162322,0.5895,0.9636
AF222060,preVC_318,Clustered,VC_318_0,33,0.878,1.0,4.521864750804198,0.878,1.0
AF227250,preVC_323,Clustered,VC_323_0,12,0.9008,1.0,0.0,0.9008,1.0
AF232233,preVC_260,Clustered,VC_260_0,22,0.6691,1.0,5.1009112665833145,0.6691,1.0
AF234172,preVC_88,Clustered,VC_88_0,14,0.9144,1.0,7.0885503870983975,0.9144,0.956
AF234173,preVC_88,Clustered,VC_88_0,14,0.9144,1.0,7.0885503870983975,0.9144,0.956
AF242738,preVC_271,Clustered,VC_271_0,8,0.1691,1.0,6.642920179277222,0.1691,1.0
AF246223,,Singleton,,,,,,,
AF271693,preVC_331,Clustered,VC_331_60,2,0.0045,0.91505574,8.366600265340756,0.0041,1.0
AF274751,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299300,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299301,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299302,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299303,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299304,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299305,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299306,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299307,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299308,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299309,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299310,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299311,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299312,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299313,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF299314,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
AF301375,preVC_238,Clustered,VC_238_0,2,0.9736,0.33333333,1.4142135623730951,0.3245,1.0
AF304433,,Overlap (VC_265/VC_271),,,,,,,
AF306496,preVC_332,Clustered,VC_332_0,12,0.8871,1.0,1.2360525881490734,0.8871,1.0
AF320576,preVC_334,Clustered,VC_334_17,13,0.0749,1.0,6.737787559834217,0.0749,0.9615
AF323668,preVC_272,Clustered,VC_272_0,7,0.2142,1.0,5.263473118903842,0.2142,1.0
AF323669,preVC_269,Clustered,VC_269_0,13,0.3746,1.0,6.556067462019965,0.3746,1.0
AF323670,,Overlap (VC_270/VC_274),,,,,,,
AF323671,preVC_344,Clustered,VC_344_0,9,0.9415,0.99998741,3.738132946135842,0.9415,1.0
AF323672,,Outlier,,,,,,,
AF323673,,Outlier,,,,,,,
AF334111,preVC_232,Clustered,VC_232_0,2,0.3333,0.0,0.0,0.0,1.0
AF335538,preVC_34,Clustered,VC_34_1,17,0.2042,1.0,8.305755436865242,0.2042,0.8309
AF338467,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
AF349457,,Overlap (VC_265/VC_271),,,,,,,
AF396866,preVC_347,Clustered,VC_347_0,4,0.3144,0.66838032,7.830395327979101,0.2101,0.8333
AF399011,preVC_349,Clustered,VC_349_0,23,0.571,1.0,4.661265628345533,0.571,1.0
AF424781,preVC_10,Clustered,VC_10_0,38,0.4977,1.0,7.6679937134406515,0.4977,1.0
AF424782,preVC_9,Clustered,VC_9_0,61,0.846,1.0,6.7923832436837985,0.846,0.9852
AF424783,preVC_8,Clustered,VC_8_0,28,0.3981,1.0,7.403544795784667,0.3981,0.9921
AF428260,,Singleton,,,,,,,
AF440571,preVC_355,Clustered,VC_355_0,7,0.9496,0.99999856,5.9696043800646885,0.9496,1.0
AF440695,preVC_358,Clustered,VC_358_0,3,0.7129,0.99090909,4.575893185923203,0.7064,1.0
AF447491,preVC_359,Clustered,VC_359_0,6,0.456,1.0,6.255148781456191,0.456,1.0
AF448724,preVC_365,Clustered,VC_365_0,3,0.0906,0.99658922,6.512749636683442,0.0903,1.0
AF452449,,Overlap (VC_17/VC_19),,,,,,,
AF453500,,Overlap (VC_17/VC_19),,,,,,,
AF454431,preVC_367,Clustered,VC_367_0,358,0.9618,1.0,1.2420946924840317,0.9618,1.0
AF489521,preVC_269,Clustered,VC_269_0,13,0.3746,1.0,6.556067462019965,0.3746,1.0
AF493143,preVC_139,Clustered,VC_139_0,43,0.8973,1.0,3.817327646007552,0.8973,1.0
AF503408,preVC_88,Clustered,VC_88_0,14,0.9144,1.0,7.0885503870983975,0.9144,0.956
AF513032,preVC_101,Clustered,VC_101_0,30,0.7332,1.0,1.3306300280246417,0.7332,1.0
AF513033,preVC_101,Clustered,VC_101_0,30,0.7332,1.0,1.3306300280246417,0.7332,1.0
AF527608,preVC_33,Clustered,VC_33_0,45,0.5895,1.0,7.126838679162322,0.5895,0.9636
AF543311,,Overlap (VC_372/VC_373),,,,,,,
AF547430,preVC_376,Clustered,VC_376_6,65,0.2111,1.0,8.721632529217578,0.2111,0.5933
AF547987,preVC_34,Clustered,VC_34_1,17,0.2042,1.0,8.305755436865242,0.2042,0.8309
AFYI01000001,,Outlier,,,,,,,
AFYI01000003,preVC_378,Clustered/Singleton,VC_378_0,1,0.0,0.0,0,0.0,1.0
AFYI01000004,,Outlier,,,,,,,
AFYI01000005,preVC_380,Clustered,VC_380_0,2,0.7918,0.83333333,6.928203230275509,0.6598,1.0
AFYI01000006,,Outlier,,,,,,,
AFYI01000007,preVC_381,Clustered/Singleton,VC_381_0,1,0.0,0.0,0,0.0,1.0
AGRM01000002,,Outlier,,,,,,,
AGRM01000003,preVC_378,Clustered/Singleton,VC_378_1,1,0.0,0.0,0,0.0,1.0
AGRM01000004,preVC_380,Clustered,VC_380_0,2,0.7918,0.83333333,6.928203230275509,0.6598,1.0
AGRM01000005,preVC_381,Clustered/Singleton,VC_381_1,1,0.0,0.0,0,0.0,1.0
AJ006589,preVC_408,Clustered,VC_408_0,10,0.7426,1.0,4.78723711861936,0.7426,1.0
AJ131519,preVC_315,Clustered,VC_315_0,2,0.3331,0.89832214,4.795831523312719,0.2992,1.0
AJ242593,preVC_415,Clustered,VC_415_0,9,0.7469,1.0,6.502811898101389,0.7469,1.0
AJ245616,preVC_269,Clustered,VC_269_0,13,0.3746,1.0,6.556067462019965,0.3746,1.0
AJ251789,preVC_413,Clustered,VC_413_0,10,0.3759,1.0,6.754473238053217,0.3759,1.0
AJ251805,preVC_421,Clustered,VC_421_0,52,0.862,1.0,4.271220309620327,0.862,1.0
AJ270057,,Overlap (VC_206/VC_208),,,,,,,
AJ278322,preVC_445,Clustered,VC_445_0,3,0.3405,0.99654273,4.558889143087895,0.3393,1.0
AJ298298,preVC_52,Clustered,VC_52_0,13,0.3689,1.0,7.190693580931445,0.3689,1.0
AJ302074,preVC_450,Clustered,VC_450_0,39,0.847,1.0,7.1616524695385735,0.847,1.0
AJ304858,,Outlier,,,,,,,
AJ312240,preVC_21,Clustered,VC_21_0,6,0.5308,1.0,7.548542332694751,0.5308,0.8
AJ318471,preVC_421,Clustered,VC_421_0,52,0.862,1.0,4.271220309620327,0.862,1.0
AJ344259,preVC_354,Clustered,VC_354_0,22,0.9588,1.0,5.4579692507140845,0.9588,1.0
AJ414696,preVC_354,Clustered,VC_354_0,22,0.9588,1.0,5.4579692507140845,0.9588,1.0
AJ421943,,Outlier,,,,,,,
AJ505558,preVC_459,Clustered,VC_459_0,45,0.9463,1.0,3.274609718604794,0.9463,1.0
AJ536073,preVC_460,Clustered,VC_460_0,7,0.8965,0.99963204,3.2924359983088296,0.8962,1.0
AJ550635,,Overlap (VC_206/VC_208),,,,,,,
AJ550940,preVC_408,Clustered,VC_408_0,10,0.7426,1.0,4.78723711861936,0.7426,1.0
AJ556162,preVC_39,Clustered,VC_39_1,22,0.2292,1.0,6.056424080779154,0.2292,0.9048
AJ560763,preVC_462,Clustered,VC_462_1,3,0.2154,0.99605532,7.129124661253219,0.2146,1.0
AJ564013,,Outlier,,,,,,,
AJ567472,,Outlier,,,,,,,
AJ604530,preVC_196,Clustered,VC_196_0,2,0.0105,0.88879008,4.0,0.0094,1.0
AJ604531,preVC_196,Clustered,VC_196_0,2,0.0105,0.88879008,4.0,0.0094,1.0
AJ609634,preVC_148,Clustered,VC_148_0,3,0.1332,0.99705779,8.032457852602624,0.1328,1.0
AJ630128,preVC_470,Clustered,VC_470_5,2,0.0172,0.89627809,4.795831523312719,0.0154,1.0
AJ635161,preVC_477,Clustered,VC_477_0,4,1.0,0.0,3.005319974407825,0.0,1.0
AJ697969,,Overlap (VC_479/VC_480),,,,,,,
AJ748296,preVC_354,Clustered,VC_354_0,22,0.9588,1.0,5.4579692507140845,0.9588,1.0
AJ783769,preVC_481,Clustered,VC_481_0,2,0.7605,0.33333333,1.7320508075688772,0.2535,1.0
AJ842011,,Outlier,,,,,,,
AJ854042,preVC_356,Clustered,VC_356_0,2,0.3912,0.77777778,4.0,0.3043,1.0
AJ875026,preVC_354,Clustered,VC_354_0,22,0.9588,1.0,5.4579692507140845,0.9588,1.0
AJ888457,preVC_484,Clustered,VC_484_0,3,0.7464,0.99913043,2.0,0.7457,1.0
AJ969242,preVC_282,Clustered,VC_282_0,2,1.0,0.0,1.0,0.0,1.0
AJ972879,,Outlier,,,,,,,
AM076770,preVC_489,Clustered,VC_489_0,16,0.9467,1.0,0.38569807630572833,0.9467,1.0
AM084414,preVC_490,Clustered,VC_490_0,86,0.9879,1.0,6.045627244448912,0.9879,1.0
AM084415,preVC_491,Clustered,VC_491_0,66,0.9265,1.0,6.021655943352054,0.9265,1.0
AM087120,preVC_355,Clustered,VC_355_0,7,0.9496,0.99999856,5.9696043800646885,0.9496,1.0
AM087121,preVC_355,Clustered,VC_355_0,7,0.9496,0.99999856,5.9696043800646885,0.9496,1.0
AM087122,preVC_355,Clustered,VC_355_0,7,0.9496,0.99999856,5.9696043800646885,0.9496,1.0
AM087123,preVC_355,Clustered,VC_355_0,7,0.9496,0.99999856,5.9696043800646885,0.9496,1.0
AM156909,preVC_495,Clustered,VC_495_0,62,0.9067,1.0,3.863311518398125,0.9067,1.0
AM183667,preVC_422,Clustered,VC_422_0,50,0.7899,1.0,5.142378075656804,0.7899,1.0
AM265638,preVC_459,Clustered,VC_459_0,45,0.9463,1.0,3.274609718604794,0.9463,1.0
AM265639,,Outlier,,,,,,,
AM419438,preVC_357,Clustered,VC_357_0,3,0.811,0.98787879,6.174937016637579,0.8011,1.0
AM491472,preVC_501,Clustered,VC_501_0,98,0.9461,1.0,6.125730021991856,0.9461,0.9411
AM749121,preVC_503,Clustered,VC_503_0,4,0.6784,0.99995885,2.23263402226559,0.6784,1.0
AM749441,preVC_170,Clustered,VC_170_0,26,0.7923,1.0,4.57949052570168,0.7923,1.0
AM910650,preVC_513,Clustered,VC_513_0,50,0.922,1.0,4.721355034178267,0.922,1.0
AM910651,preVC_459,Clustered,VC_459_0,45,0.9463,1.0,3.274609718604794,0.9463,1.0
AP000363,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP000400,,Outlier,,,,,,,
AP000422,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP001553,preVC_12,Clustered,VC_12_2,19,0.207,1.0,7.660098382626965,0.207,0.9942
AP004402,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP005153,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP005154,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP008953,preVC_10,Clustered,VC_10_0,38,0.4977,1.0,7.6679937134406515,0.4977,1.0
AP008954,preVC_12,Clustered,VC_12_0,22,0.2455,1.0,8.05345410977575,0.2455,0.9264
AP008979,preVC_123,Clustered,VC_123_0,7,0.395,1.0,6.131856736837868,0.395,1.0
AP008983,preVC_204,Clustered/Singleton,VC_204_1,1,0.0,0.0,0,0.0,1.0
AP008986,preVC_371,Clustered,VC_371_0,17,0.6776,1.0,3.8757607743055265,0.6776,1.0
AP009146,preVC_67,Clustered,VC_67_0,2,0.1348,0.91379826,0.0,0.1232,1.0
AP009363,preVC_9,Clustered,VC_9_0,61,0.846,1.0,6.7923832436837985,0.846,0.9852
AP009390,preVC_95,Clustered,VC_95_0,22,0.5335,1.0,6.321692857563572,0.5335,1.0
AP009624,,Overlap (VC_249/VC_300),,,,,,,
AP011113,preVC_290,Clustered/Singleton,VC_290_35,1,0.0,0.0,0,0.0,1.0
AP011616,preVC_518,Clustered,VC_518_0,4,0.9846,0.99497946,2.641065979041999,0.9797,1.0
AP011617,preVC_518,Clustered,VC_518_0,4,0.9846,0.99497946,2.641065979041999,0.9797,1.0
AP011955,preVC_11,Clustered,VC_11_0,25,0.3535,1.0,7.503768637540622,0.3535,0.95
AP011956,preVC_11,Clustered,VC_11_0,25,0.3535,1.0,7.503768637540622,0.3535,0.95
AP012341,preVC_9,Clustered,VC_9_0,61,0.846,1.0,6.7923832436837985,0.846,0.9852
AP012529,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP012530,preVC_39,Clustered,VC_39_0,10,0.1081,1.0,7.523568305641405,0.1081,0.7778
AP012531,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP012532,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP012533,preVC_46,Clustered,VC_46_0,5,0.042,0.99999995,4.504607485128208,0.042,1.0
AP012534,preVC_48,Clustered,VC_48_0,48,0.4489,1.0,6.757814244322936,0.4489,0.852
AP012535,preVC_46,Clustered,VC_46_1,35,0.4309,1.0,4.295930518219387,0.4309,1.0
AP012536,,Overlap (VC_40/VC_48/VC_61),,,,,,,
AP012537,,Overlap (VC_40/VC_48/VC_61),,,,,,,
AP012538,preVC_39,Clustered,VC_39_0,10,0.1081,1.0,7.523568305641405,0.1081,0.7778
AP012539,preVC_39,Clustered,VC_39_0,10,0.1081,1.0,7.523568305641405,0.1081,0.7778
AP012540,preVC_39,Clustered,VC_39_0,10,0.1081,1.0,7.523568305641405,0.1081,0.7778
AP013029,preVC_91,Clustered,VC_91_2,19,0.3658,1.0,7.812121803794132,0.3658,0.807
AP013057,preVC_131,Clustered,VC_131_0,3,0.1104,0.99659403,4.153151757951763,0.11,1.0
AP013538,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
AP013539,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
AP013540,preVC_522,Clustered,VC_522_0,27,0.6697,1.0,6.564611861740773,0.6697,1.0
AP013541,preVC_522,Clustered,VC_522_0,27,0.6697,1.0,6.564611861740773,0.6697,1.0
AP013542,preVC_522,Clustered,VC_522_0,27,0.6697,1.0,6.564611861740773,0.6697,1.0
AP013543,preVC_522,Clustered,VC_522_0,27,0.6697,1.0,6.564611861740773,0.6697,1.0
AP013544,,Outlier,,,,,,,
AP013545,preVC_522,Clustered,VC_522_0,27,0.6697,1.0,6.564611861740773,0.6697,1.0
AP013546,preVC_520,Clustered,VC_520_0,4,0.1967,0.99996947,5.060118166667158,0.1967,1.0
AP013547,preVC_520,Clustered,VC_520_0,4,0.1967,0.99996947,5.060118166667158,0.1967,1.0
AP013548,preVC_520,Clustered,VC_520_0,4,0.1967,0.99996947,5.060118166667158,0.1967,1.0
AP013549,,Outlier,,,,,,,
