Name	Description	Coverage%	Identity%	Target	Target_Total_Name
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.4	MZ516827_00007	MZ516827 Vibrio phage vB_VpP_DE10, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.4	MZ020222_00030	MZ020222 Vibrio phage BUCT233, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.4	MT501516_00015	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.4	ON080940_00006	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.4	MF754112_00027	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.4	MF754111_00040	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	84.8	MN974282_00014	MN974282 Vibrio phage OWB, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	84.8	MK474470_00014	MK474470 UNVERIFIED: Vibrio phage vB_VpaS_OWB, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	84.8	MZ182247_00006	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	84.3	ON457557_00015	ON457557 Vibrio phage vB_VpaP_M3, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	84.3	ON457556_00010	ON457556 Vibrio phage vB_VpaP_C2, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	84.3	ON457555_00015	ON457555 Vibrio phage vB_VpaP_M9, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	84.3	ON457554_00015	ON457554 Vibrio phage vB_VpaP_M83, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	83.8	OK585160_00025	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	83.8	OK585159_00025	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_7	endonuclease	99.2	100.0	ON864052_00007	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	100.0	ON864052_00010	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.6	OK349506_00018	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.6	MW331544_00019	MW331544 Vibrio phage vB_Vc_SrVc2, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.6	LR794124_00019	LR794124 Vibrio phage vB_Vc_SrVc9 genome assembly, chromosome: 1.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.6	MT501516_00018	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.6	MF754111_00043	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.6	MF754112_00030	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.1	ON080941_00030	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	98.1	ON872379_00030	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.6	OK585160_00022	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.6	OK585159_00022	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.6	ON080940_00009	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.6	OK585158_00022	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.1	OM799543_00018	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.1	OP117450_00019	OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.1	MZ516827_00010	MZ516827 Vibrio phage vB_VpP_DE10, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.6	FJ896200_00020	FJ896200 Vibrio phage VP93, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	96.7	MZ592921_00006	MZ592921 Vibrio phage vB_VpP_NS8, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.1	MW250641_00031	MW250641 Vibrio phage vB_VpP_DE17, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	97.1	MT178448_00018	MT178448 Vibrio phage vB_VpP_FE11, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	96.7	MZ020222_00027	MZ020222 Vibrio phage BUCT233, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	96.7	MZ182247_00009	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	96.2	OM362522_00032	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	85.6	ON457557_00018	ON457557 Vibrio phage vB_VpaP_M3, complete genome.
vB_VpP_AC2_10	MazG-like pyrophosphatase	99.5	85.6	ON457556_00013	ON457556 Vibrio phage vB_VpaP_C2, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	100.0	ON864052_00013	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	99.4	MT178448_00021	MT178448 Vibrio phage vB_VpP_FE11, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	99.7	ON080941_00027	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	99.1	OK585160_00019	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	99.1	OK585159_00019	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	99.1	OP117450_00016	OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	99.1	ON872379_00027	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	99.1	MF754111_00046	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	98.7	MW250641_00028	MW250641 Vibrio phage vB_VpP_DE17, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	98.4	MF754112_00033	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.5	OK585158_00019	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.8	MT501516_00021	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.5	MZ182247_00012	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.5	MZ020222_00024	MZ020222 Vibrio phage BUCT233, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.5	MZ516827_00013	MZ516827 Vibrio phage vB_VpP_DE10, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.2	ON080940_00012	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.2	OM362522_00029	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.2	OM799543_00021	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.2	MZ592921_00009	MZ592921 Vibrio phage vB_VpP_NS8, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.5	MW331544_00022	MW331544 Vibrio phage vB_Vc_SrVc2, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.2	ON457557_00021	ON457557 Vibrio phage vB_VpaP_M3, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.2	ON457556_00016	ON457556 Vibrio phage vB_VpaP_C2, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	97.2	OK349506_00021	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	96.8	ON457555_00021	ON457555 Vibrio phage vB_VpaP_M9, complete genome.
vB_VpP_AC2_13	RNaseH	99.7	96.8	ON457554_00021	ON457554 Vibrio phage vB_VpaP_M83, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	100.0	ON864052_00015	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	99.3	ON872379_00025	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	99.3	ON080941_00025	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	99.3	MZ592921_00011	MZ592921 Vibrio phage vB_VpP_NS8, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	99.3	MZ182247_00014	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	99.3	MT501516_00023	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	OP117450_00014	OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	OK585160_00017	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	OK585159_00017	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	ON080940_00014	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	MZ516827_00015	MZ516827 Vibrio phage vB_VpP_DE10, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	MZ020222_00022	MZ020222 Vibrio phage BUCT233, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	OK585158_00017	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	OM799543_00023	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	MF754111_00048	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	MF754112_00035	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	98.6	OM362522_00027	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	97.3	ON457555_00023	ON457555 Vibrio phage vB_VpaP_M9, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	97.3	ON457554_00023	ON457554 Vibrio phage vB_VpaP_M83, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	97.3	OK349506_00023	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	97.3	MN974282_00022	MN974282 Vibrio phage OWB, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	97.3	MK474470_00022	MK474470 UNVERIFIED: Vibrio phage vB_VpaS_OWB, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	96.6	ON457557_00023	ON457557 Vibrio phage vB_VpaP_M3, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	96.6	ON457556_00018	ON457556 Vibrio phage vB_VpaP_C2, complete genome.
vB_VpP_AC2_15	endonuclease VII	99.3	97.9	MW250641_00026	MW250641 Vibrio phage vB_VpP_DE17, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	100.0	ON864052_00017	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.5	OK585158_00015	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.5	ON080941_00023	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.5	ON080940_00016	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.0	OK585160_00015	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.0	OK585159_00015	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.0	MT501516_00025	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.0	ON872379_00023	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	98.5	OM799543_00025	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.0	OK349506_00025	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.0	MW331544_00026	MW331544 Vibrio phage vB_Vc_SrVc2, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	99.0	LR794124_00027	LR794124 Vibrio phage vB_Vc_SrVc9 genome assembly, chromosome: 1.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	98.5	MZ182247_00016	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	97.9	MF754111_00001	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	98.5	FJ896200_00027	FJ896200 Vibrio phage VP93, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.0	97.9	MN974282_00024	MN974282 Vibrio phage OWB, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.0	97.9	MK474470_00024	MK474470 UNVERIFIED: Vibrio phage vB_VpaS_OWB, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	97.4	OM362522_00025	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.0	96.4	ON457557_00025	ON457557 Vibrio phage vB_VpaP_M3, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.0	96.4	ON457556_00020	ON457556 Vibrio phage vB_VpaP_C2, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	94.8	MT178448_00025	MT178448 Vibrio phage vB_VpP_FE11, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.0	95.9	ON457555_00025	ON457555 Vibrio phage vB_VpaP_M9, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.0	95.9	ON457554_00025	ON457554 Vibrio phage vB_VpaP_M83, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	95.9	MF754112_00037	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_17	deoxynucleoside monophosphate kinase	99.5	94.3	MW250641_00024	MW250641 Vibrio phage vB_VpP_DE17, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	100.0	ON864052_00019	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.8	MT501516_00027	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.6	OP117450_00010	OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.6	MZ592921_00015	MZ592921 Vibrio phage vB_VpP_NS8, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.6	OM799543_00027	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.5	ON080941_00021	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.5	FJ896200_00029	FJ896200 Vibrio phage VP93, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.5	MZ020222_00018	MZ020222 Vibrio phage BUCT233, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.5	ON872379_00021	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.5	ON080940_00018	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.4	OK585158_00013	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.5	OK349506_00027	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.4	MF754112_00039	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.4	MF754111_00003	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.3	OK585160_00013	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.3	OK585159_00013	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.4	OM362522_00023	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.4	MW250641_00022	MW250641 Vibrio phage vB_VpP_DE17, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.3	MZ182247_00018	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.1	MZ516827_00019	MZ516827 Vibrio phage vB_VpP_DE10, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.3	MW331544_00028	MW331544 Vibrio phage vB_Vc_SrVc2, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	99.3	LR794124_00029	LR794124 Vibrio phage vB_Vc_SrVc9 genome assembly, chromosome: 1.
vB_VpP_AC2_19	RNA polymerase	99.9	98.9	MT178448_00027	MT178448 Vibrio phage vB_VpP_FE11, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	97.9	MN974282_00026	MN974282 Vibrio phage OWB, complete genome.
vB_VpP_AC2_19	RNA polymerase	99.9	97.9	MK474470_00026	MK474470 UNVERIFIED: Vibrio phage vB_VpaS_OWB, complete genome.
vB_VpP_AC2_21	virion structural protein	98.8	100.0	ON864052_00021	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
