Name	Description	Coverage%	Identity%	Target	Target_Total_Name
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_4	peptidase HslV family protein	99.5	99.5	MN102376_00004	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_4	peptidase HslV family protein	99.0	85.9	MT135025_00478	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_6	pilin	99.3	100.0	MN102376_00006	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_6	pilin	99.3	100.0	MN175679_00006	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_6	pilin	99.3	100.0	MH925093_00006	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_6	pilin	99.3	99.3	MW423739_00013	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_6	pilin	99.3	99.3	OK349507_00007	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_8	Sak4-like ssDNA annealing protein	99.6	100.0	OK349507_00009	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_8	Sak4-like ssDNA annealing protein	99.6	100.0	MW423739_00015	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_8	Sak4-like ssDNA annealing protein	99.6	100.0	MN102376_00008	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_8	Sak4-like ssDNA annealing protein	99.6	100.0	MN175679_00008	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_8	Sak4-like ssDNA annealing protein	99.6	100.0	MH925093_00008	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_8	Sak4-like ssDNA annealing protein	99.6	96.0	MT135025_00475	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_9	single strand DNA binding protein	99.7	100.0	MN175679_00009	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_9	single strand DNA binding protein	99.7	99.0	MH925093_00009	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_9	single strand DNA binding protein	99.7	97.4	MW423739_00016	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_9	single strand DNA binding protein	99.7	93.5	OK349507_00010	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_9	single strand DNA binding protein	99.7	95.4	MN102376_00009	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_9	single strand DNA binding protein	99.7	77.9	MT135025_00474	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_11	Cas4-domain exonuclease	99.7	100.0	MN175679_00011	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_11	Cas4-domain exonuclease	99.7	100.0	MH925093_00011	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_11	Cas4-domain exonuclease	99.7	99.4	MN102376_00011	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_11	Cas4-domain exonuclease	99.7	93.9	MT135025_00472	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_11	Cas4-domain exonuclease	99.7	92.2	MW423739_00018	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_11	Cas4-domain exonuclease	99.7	91.9	OK349507_00012	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_12	DNA helicase	99.8	100.0	MN175679_00012	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_12	DNA helicase	99.8	98.9	MH925093_00012	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_12	DNA helicase	99.8	98.8	OK349507_00013	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_12	DNA helicase	99.8	95.6	MT135025_00471	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_12	DNA helicase	99.8	97.2	MW423739_00019	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_12	DNA helicase	99.8	97.0	MN102376_00012	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_18	QueE-like radical SAM domain protein	99.6	100.0	MN175679_00019	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_18	QueE-like radical SAM domain protein	99.6	100.0	MH925093_00019	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_18	QueE-like radical SAM domain protein	99.6	99.6	OK349507_00020	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_18	QueE-like radical SAM domain protein	99.6	99.6	MT135025_00465	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_18	QueE-like radical SAM domain protein	99.6	99.6	MN102376_00018	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_18	QueE-like radical SAM domain protein	99.6	99.6	MW423738_00023	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_19	L-glutamine-D-fructose-6-phosphate aminotransferase	99.8	100.0	MN175679_00020	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_19	L-glutamine-D-fructose-6-phosphate aminotransferase	99.8	99.4	MN102376_00019	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_19	L-glutamine-D-fructose-6-phosphate aminotransferase	99.8	99.4	OK349507_00021	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_19	L-glutamine-D-fructose-6-phosphate aminotransferase	99.8	99.4	MT135025_00464	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_19	L-glutamine-D-fructose-6-phosphate aminotransferase	99.8	99.4	MW423738_00022	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_19	L-glutamine-D-fructose-6-phosphate aminotransferase	99.8	99.4	MH925093_00020	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_21	QueD-like 6-pyruvoyl-tetrahydropterin synthase	99.4	100.0	MN175679_00022	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_21	QueD-like 6-pyruvoyl-tetrahydropterin synthase	99.4	100.0	MW423738_00020	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_21	QueD-like 6-pyruvoyl-tetrahydropterin synthase	99.4	99.4	MT135025_00462	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_21	QueD-like 6-pyruvoyl-tetrahydropterin synthase	98.7	99.3	MN102376_00021	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_21	QueD-like 6-pyruvoyl-tetrahydropterin synthase	98.7	99.3	OK349507_00023	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_21	QueD-like 6-pyruvoyl-tetrahydropterin synthase	98.7	80.8	MH925093_00022	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	99.5	100.0	OK349507_00025	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	99.5	100.0	MW423738_00018	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	99.5	100.0	MT135025_00460	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	99.5	100.0	MN102376_00023	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	99.5	100.0	MN175679_00024	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	99.5	100.0	MH925093_00023	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase 1	78.8	87.8	KX198614_00043	KX198614 Vibrio phage vB_VhaS-tm, partial genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	91.8	78.0	ON457559_00038	ON457559 Vibrio phage vB_VpaS_CHI, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	91.8	78.0	ON457558_00039	ON457558 Vibrio phage vB_VpaS_ALK, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase 1	91.8	77.5	MW114771_00039	MW114771 Vibrio phage pVco-14, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase 1	91.8	77.5	MT795651_00041	MT795651 Vibrio phage vB_VnaS-AQKL99, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	74.5	ON911540_00031	ON911540 Xanthomonas phage vB_Xar_IVIA-DoCa3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	73.3	OK562670_00046	OK562670 Stenotrophomonas phage vB_SM_ytsc_ply2008005c, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	74.5	MW835180_00063	MW835180 Pseudomonas phage vB_PaeS_PAJD-1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	74.5	MN504636_00074	MN504636 Pseudomonas phage Quinobequin-P09, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	74.5	KX898399_00034	KX898399 Pseudomonas phage JG012, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	74.5	JQ067084_00037	JQ067084 Pseudomonas phage PaMx25, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	74.5	KX129925_00037	KX129925 Pseudomonas phage NP1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	72.7	MW057861_00005	MW057861 Providencia phage PSTCR7, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_23	GTP cyclohydrolase	77.4	72.7	MW057856_00044	MW057856 Providencia phage PSTCR4, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	100.0	OK349507_00028	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	100.0	MW423738_00015	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	100.0	MN102376_00026	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	100.0	MN175679_00027	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	99.4	MT135025_00457	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	99.4	MH925093_00026	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	71.8	MW114771_00038	MW114771 Vibrio phage pVco-14, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	72.2	MT795651_00042	MT795651 Vibrio phage vB_VnaS-AQKL99, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	71.5	KX198614_00044	KX198614 Vibrio phage vB_VhaS-tm, partial genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	71.5	ON457559_00039	ON457559 Vibrio phage vB_VpaS_CHI, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_26	queuine tRNA-ribosyltransferase	99.7	71.5	ON457558_00040	ON457558 Vibrio phage vB_VpaS_ALK, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_28	DNA polymerase processivity factor	99.7	100.0	MW423738_00013	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_28	DNA polymerase processivity factor	99.7	100.0	MN175679_00029	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_28	DNA polymerase processivity factor	99.7	99.7	MH925093_00028	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_28	DNA polymerase processivity factor	99.7	99.7	MN102376_00028	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_28	DNA polymerase processivity factor	99.7	99.1	OK349507_00030	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_28	DNA polymerase processivity factor	99.7	97.5	MT135025_00455	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_29	GTP-binding domain protein	99.2	100.0	MN175679_00030	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_29	GTP-binding domain protein	99.2	99.1	MH925093_00029	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_29	GTP-binding domain protein	99.2	97.4	MN102376_00029	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_29	GTP-binding domain protein	99.2	97.4	OK349507_00031	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_29	GTP-binding domain protein	99.2	96.6	MW423738_00012	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_29	GTP-binding domain protein	99.2	93.2	MT135025_00454	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_30	DNA polymerase	99.9	100.0	MN175679_00031	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_30	DNA polymerase	99.9	100.0	MH925093_00030	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_30	DNA polymerase	99.9	99.2	OK349507_00032	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_30	DNA polymerase	99.9	98.8	MN102376_00030	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_30	DNA polymerase	99.9	98.6	MW423738_00011	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_30	DNA polymerase	99.9	95.0	MT135025_00453	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	99.9	100.0	MN175679_00036	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	99.9	99.5	MH925093_00035	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	99.9	92.9	MW423738_00006	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	99.9	87.1	MN102376_00035	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	84.7	82.5	OK349507_00037	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	85.1	76.8	ON457559_00044	ON457559 Vibrio phage vB_VpaS_CHI, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	85.1	76.8	ON457558_00045	ON457558 Vibrio phage vB_VpaS_ALK, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	85.1	74.4	MT795651_00048	MT795651 Vibrio phage vB_VnaS-AQKL99, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_35	tail protein	89.2	71.2	KX198614_00050	KX198614 Vibrio phage vB_VhaS-tm, partial genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	100.0	MN175679_00037	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	100.0	MH925093_00036	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	98.5	OK349507_00038	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	98.5	MN102376_00036	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	95.4	MW423738_00005	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	76.9	KX198614_00051	KX198614 Vibrio phage vB_VhaS-tm, partial genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	73.8	MT795651_00049	MT795651 Vibrio phage vB_VnaS-AQKL99, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	72.3	ON457559_00045	ON457559 Vibrio phage vB_VpaS_CHI, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_36	tail assembly chaperone	98.5	72.3	ON457558_00046	ON457558 Vibrio phage vB_VpaS_ALK, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	100.0	MN175679_00038	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	100.0	MH925093_00037	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	98.6	MN102376_00037	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	97.2	OK349507_00039	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	94.4	KX198614_00052	KX198614 Vibrio phage vB_VhaS-tm, partial genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	91.5	MT795651_00050	MT795651 Vibrio phage vB_VnaS-AQKL99, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	88.7	ON457559_00046	ON457559 Vibrio phage vB_VpaS_CHI, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_37	tail assembly chaperone	98.6	88.7	ON457558_00047	ON457558 Vibrio phage vB_VpaS_ALK, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_38	tail assembly protein	99.6	100.0	MN175679_00039	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_38	tail assembly protein	99.6	99.3	MH925093_00038	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_38	tail assembly protein	99.6	97.4	MW423738_00004	MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_38	tail assembly protein	99.6	88.0	OK349507_00040	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_38	tail assembly protein	99.6	86.1	MN102376_00038	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_38	tail assembly protein	99.6	78.3	ON457559_00047	ON457559 Vibrio phage vB_VpaS_CHI, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_38	tail assembly protein	99.6	78.3	ON457558_00048	ON457558 Vibrio phage vB_VpaS_ALK, complete genome.
